Number of nodes,Activation,Batch type,Learning rate,Iterations,Train,Dev,Train time
4,sigmoid,one batch,1.2,1000,85.62,87.25,0.17220807075500488
4,sigmoid,one batch,1.2,10000,95.19,94.0,1.7712643146514893
4,sigmoid,one batch,1.2,100000,95.12,93.75,17.842508792877197
4,sigmoid,one batch,0.6,100,79.38,81.0,0.016036033630371094
4,sigmoid,one batch,0.6,1000,85.69,87.25,0.17409801483154297
4,sigmoid,one batch,0.6,10000,90.06,90.5,1.7675440311431885
4,sigmoid,one batch,0.6,100000,95.19,94.0,17.826367139816284
4,sigmoid,one batch,0.1,100,50.62,47.5,0.01804661750793457
4,sigmoid,one batch,0.1,1000,83.38,85.25,0.16719484329223633
4,sigmoid,one batch,0.1,10000,85.62,87.25,1.7535443305969238
4,sigmoid,one batch,0.1,100000,95.19,94.0,17.593302726745605
4,sigmoid,one batch,0.01,100,50.62,47.5,0.016999006271362305
4,sigmoid,one batch,0.01,1000,50.62,47.5,0.1671767234802246
4,sigmoid,one batch,0.01,10000,83.44,85.25,1.6865808963775635
4,sigmoid,one batch,0.01,100000,85.62,87.25,17.47851061820984
4,sigmoid,one batch,0.001,100,49.38,52.5,0.017033100128173828
4,sigmoid,one batch,0.001,1000,50.62,47.5,0.17221736907958984
4,sigmoid,one batch,0.001,10000,50.62,47.5,1.6808817386627197
4,sigmoid,one batch,0.001,100000,83.44,85.25,16.94208860397339
4,relu,one batch,1.2,100,85.62,87.75,0.01961803436279297
4,relu,one batch,1.2,1000,85.62,87.75,0.16266441345214844
4,relu,one batch,1.2,10000,85.62,87.75,1.5132644176483154
4,relu,one batch,1.2,100000,85.69,87.75,15.032583713531494
4,relu,one batch,0.6,100,85.62,87.5,0.020003318786621094
4,relu,one batch,0.6,1000,85.62,87.75,0.16515207290649414
4,relu,one batch,0.6,10000,85.62,87.75,1.5081977844238281
4,relu,one batch,0.6,100000,85.62,87.75,14.91856598854065
4,relu,one batch,0.1,100,78.56,75.5,0.019999980926513672
4,relu,one batch,0.1,1000,85.69,87.75,0.18775415420532227
4,relu,one batch,0.1,10000,85.62,87.75,1.6212515830993652
4,relu,one batch,0.1,100000,85.62,87.75,15.175853729248047
4,relu,one batch,0.01,100,50.62,47.5,0.021504878997802734
4,relu,one batch,0.01,1000,78.88,75.25,0.19920730590820312
4,relu,one batch,0.01,10000,85.69,87.75,1.8860938549041748
4,relu,one batch,0.01,100000,85.62,87.75,16.214977502822876
4,relu,one batch,0.001,100,50.62,47.5,0.02207350730895996
4,relu,one batch,0.001,1000,50.62,47.5,0.21716713905334473
4,relu,one batch,0.001,10000,78.81,75.0,2.10514235496521
4,relu,one batch,0.001,100000,85.69,87.75,19.04878568649292
5,tanh,one batch,1.2,100,85.62,87.5,0.06403040885925293
5,tanh,one batch,1.2,1000,86.0,87.0,0.6361570358276367
5,tanh,one batch,1.2,10000,94.81,94.0,6.435357332229614
5,tanh,one batch,1.2,100000,95.19,94.0,64.05176448822021
5,tanh,one batch,0.6,100,85.56,87.5,0.06417441368103027
5,tanh,one batch,0.6,1000,85.69,87.25,0.6316239833831787
5,tanh,one batch,0.6,10000,95.19,93.75,6.413525819778442
5,tanh,one batch,0.6,100000,95.06,93.75,64.18735551834106
5,tanh,one batch,0.1,100,78.56,79.25,0.06507134437561035
5,tanh,one batch,0.1,1000,85.69,87.5,0.6347024440765381
5,tanh,one batch,0.1,10000,85.69,87.25,6.373944997787476
5,tanh,one batch,0.1,100000,95.25,93.75,64.2039053440094
5,tanh,one batch,0.01,100,50.62,47.5,0.06461358070373535
5,tanh,one batch,0.01,1000,78.75,79.0,0.6328814029693604
5,tanh,one batch,0.01,10000,85.69,87.5,6.610088109970093
5,tanh,one batch,0.01,100000,85.62,87.25,64.93853092193604
5,tanh,one batch,0.001,100,59.0,57.25,0.0635836124420166
5,tanh,one batch,0.001,1000,50.62,47.5,0.6947917938232422
5,tanh,one batch,0.001,10000,78.75,79.25,6.6219563484191895
5,tanh,one batch,0.001,100000,85.69,87.5,65.25106263160706
5,sigmoid,one batch,1.2,100,84.44,86.25,0.024028778076171875
5,sigmoid,one batch,1.2,1000,85.69,87.25,0.2266242504119873
5,sigmoid,one batch,1.2,10000,95.12,93.75,2.207603693008423
5,sigmoid,one batch,1.2,100000,95.06,93.75,20.920254945755005
5,sigmoid,one batch,0.6,100,79.69,81.0,0.020045757293701172
5,sigmoid,one batch,0.6,1000,85.69,87.25,0.23511672019958496
5,sigmoid,one batch,0.6,10000,95.12,94.0,2.1616363525390625
5,sigmoid,one batch,0.6,100000,95.25,93.75,21.240747451782227
5,sigmoid,one batch,0.1,100,50.62,47.5,0.022001028060913086
5,sigmoid,one batch,0.1,1000,83.31,85.0,0.19855833053588867
5,sigmoid,one batch,0.1,10000,85.62,87.25,2.054272413253784
5,sigmoid,one batch,0.1,100000,95.12,94.25,20.912593126296997
5,sigmoid,one batch,0.01,100,50.62,47.5,0.02099895477294922
5,sigmoid,one batch,0.01,1000,50.62,47.5,0.23212718963623047
5,sigmoid,one batch,0.01,10000,83.38,85.5,1.9991176128387451
5,sigmoid,one batch,0.01,100000,85.62,87.25,19.89474081993103
5,sigmoid,one batch,0.001,100,49.38,52.5,0.019998788833618164
5,sigmoid,one batch,0.001,1000,50.62,47.5,0.19277501106262207
5,sigmoid,one batch,0.001,10000,50.62,47.5,1.9831466674804688
5,sigmoid,one batch,0.001,100000,83.38,85.5,19.228408336639404
5,relu,one batch,1.2,100,85.56,87.75,0.02199864387512207
5,relu,one batch,1.2,1000,85.62,87.75,0.18313121795654297
